date,height,highlow
05/10/2018 05:21 AM,0.06,L
05/10/2018 12:16 PM,1.17,H
05/10/2018 05:10 PM,0.39,L
05/10/2018 11:39 PM,1.38,H
05/11/2018 05:45 AM,-0.04,L
05/11/2018 12:51 PM,1.41,H
05/11/2018 06:08 PM,0.34,L
05/12/2018 12:15 AM,1.3,H
05/12/2018 06:10 AM,-0.14,L
05/12/2018 01:26 PM,1.65,H
05/12/2018 07:02 PM,0.29,L
05/13/2018 12:51 AM,1.2,H
05/13/2018 06:39 AM,-0.23,L
05/13/2018 02:03 PM,1.88,H
05/13/2018 07:55 PM,0.25,L
05/14/2018 01:27 AM,1.09,H
05/14/2018 07:09 AM,-0.3,L
05/14/2018 02:42 PM,2.08,H
05/14/2018 08:49 PM,0.23,L
05/15/2018 02:05 AM,0.96,H
05/15/2018 07:43 AM,-0.34,L
05/15/2018 03:24 PM,2.21,H
05/15/2018 09:45 PM,0.22,L
05/16/2018 02:44 AM,0.82,H
05/16/2018 08:19 AM,-0.34,L
05/16/2018 04:09 PM,2.27,H
05/16/2018 10:44 PM,0.23,L
05/17/2018 03:28 AM,0.69,H
05/17/2018 08:58 AM,-0.29,L
05/17/2018 04:58 PM,2.26,H
05/17/2018 11:51 PM,0.24,L
05/18/2018 04:21 AM,0.58,H
05/18/2018 09:42 AM,-0.19,L
05/18/2018 05:52 PM,2.18,H
05/19/2018 01:04 AM,0.23,L
05/19/2018 05:33 AM,0.5,H
05/19/2018 10:32 AM,-0.05,L
05/19/2018 06:51 PM,2.06,H
05/20/2018 02:17 AM,0.2,L
05/20/2018 07:20 AM,0.5,H
05/20/2018 11:34 AM,0.12,L
05/20/2018 07:54 PM,1.92,H
05/21/2018 03:17 AM,0.14,L
05/21/2018 09:10 AM,0.63,H
05/21/2018 12:56 PM,0.3,L
05/21/2018 08:56 PM,1.77,H
05/22/2018 04:02 AM,0.07,L
05/22/2018 10:33 AM,0.87,H
05/22/2018 02:35 PM,0.42,L
05/22/2018 09:54 PM,1.62,H
05/23/2018 04:38 AM,0,L
